X-axis,Y-axis
206886.7703742922,458890.72092679725
206886.58195099467,458889.7388388883
206886.39352765962,458888.7567509865
206886.20510430596,458887.7746630883
206886.01668095234,458886.7925751901
206885.82825759277,458885.810487293
206885.63983413627,458884.82839941455
206885.45141067976,458883.8463115361
206885.26298722328,458882.8642236576
206885.07456376677,458881.88213577913
206884.88614031026,458880.9000479007
206884.6977167562,458879.9179600409
206884.50929316698,458878.9358721879
206884.32086957776,458877.9537843349
206884.13244598857,458876.97169648187
206883.94402239934,458875.98960862885
206883.75559881012,458875.0075207759
206883.56717517888,458874.0254329309
206883.37875143532,458873.0433451075
206883.1903276918,458872.06125728413
206883.00190394823,458871.07916946075
206882.81348020467,458870.09708163736
206882.6250564611,458869.1149938139
206882.43663271755,458868.1329059905
206882.24820893572,458867.1508181745
206882.05978503218,458866.16873038176
206881.87136112864,458865.1866425891
206881.6829372251,458864.2045547964
206881.49451332155,458863.2224670037
206881.306089418,458862.24037921097
206881.11766551447,458861.25829141826
206880.92924157917,458860.27620363166
206880.74081752138,458859.2941158686
206880.5523934636,458858.3120281054
206880.3639694058,458857.32994034234
206880.17554534803,458856.34785257926
206879.98712129024,458855.3657648161
206879.79869723244,458854.38367705303
206879.61027307523,458853.401589309
206879.42184888365,458852.41950157157
206879.23342469207,458851.4374138341
206879.04500050048,458850.4553260967
206878.85657630887,458849.47323835926
206878.66815207448,458848.49115063
206878.4797277811,458847.5090629121
206878.2913034877,458846.5269751942
206878.1028791943,458845.5448874763
206877.91445485558,458844.56279976707
206877.73596101333,458843.57891520404
206877.5867063816,458842.5904477237
206877.4723373766,458841.59700938605
206877.35796837157,458840.6035710484
206877.2626508349,458839.6086431553
206877.22122825356,458838.6095014388
206877.1798056722,458837.6103597222
206877.13838309087,458836.61121800565
206877.09696050955,458835.61207628914
206877.1190785229,458834.61328944145
206877.17165841645,458833.6146727208
206877.22423830998,458832.6160560001
206877.27681820354,458831.61743927945
206877.3293980971,458830.6188225588
206877.38197799062,458829.6202058381
206877.5550783189,458828.635307094
206877.72826662284,458827.65041836357
206877.90145492676,458826.66552963306
206878.0746432307,458825.6806409026
206878.24783153462,458824.69575217215
206878.42101983854,458823.7108634417
206878.68157028366,458822.7485160192
206879.00652311687,458821.8027857954
206879.33147595008,458820.8570555716
206879.6564287833,458819.91132534784
206879.9813816165,458818.96559512406
206880.30633444974,458818.01986490027
206880.63128728294,458817.0741346765
206881.0724087887,458816.1817102943
206881.57746124288,458815.3186216439
206882.08251369707,458814.4555329934
206882.58756615123,458813.59244434297
206883.0926186054,458812.7293556925
206883.5976710596,458811.86626704206
206884.1027235138,458811.00317839166
206884.66144737127,458810.18071748916
206885.35503236772,458809.460342689
206886.04861736417,458808.73996788886
206886.74220236062,458808.0195930887
206887.43578735707,458807.29921828856
206888.12937235355,458806.5788434884
206888.82295735,458805.85846868827
206889.51654234645,458805.1380938881
206890.26490940282,458804.48595801805
206891.11819270803,458803.9645104166
206891.97147601325,458803.4430628152
206892.82475931846,458802.92161521374
206893.67804262368,458802.4001676123
206894.5313259289,458801.87872001086
206895.3846092341,458801.3572724094
206896.23789253933,458800.835824808
206897.09117584454,458800.31437720655
206897.9854364489,458799.8830560118
206898.9393115906,458799.5828523909
206899.8931867323,458799.28264877
206900.84706187405,458798.9824451491
206901.80093701577,458798.68224152824
206902.7548121575,458798.3820379073
