X-axis,Y-axis
962897.5164139391,1958728.3104721045
962896.5171107941,1958728.3270697282
962895.5175114502,1958728.3224801535
962894.5195215488,1958728.2653359515
962893.5215316472,1958728.208191753
962892.5292104898,1958728.089839949
962891.5377008108,1958727.962726357
962890.5507945988,1958727.8095912347
962889.5758538744,1958727.5888200658
962888.6009131548,1958727.3680488965
962887.641984758,1958727.093425329
962886.7048064835,1958726.7456520956
962885.7676282097,1958726.3978788662
962884.870212044,1958725.967721264
962884.0148852972,1958725.4503572548
962883.1595585503,1958724.9329932467
962882.3991150522,1958724.297354251
962881.708572329,1958723.5745817106
962881.0180296066,1958722.8518091703
962880.519929528,1958721.9988029283
962880.105678381,1958721.0890527305
962879.6914272341,1958720.1793025283
962879.5034761389,1958719.2109745606
962879.4242986033,1958718.214490555
962879.3451210752,1958717.2180065485
962879.3072340338,1958716.2237695
962879.4940777471,1958715.2417619263
962879.6809214617,1958714.2597543492
962879.8677651774,1958713.277746773
962880.2082495283,1958712.346964153
962880.6480990076,1958711.4493106203
962881.0879484868,1958710.551657088
962881.6726028179,1958709.7526829464
962882.3471836797,1958709.0149905633
962883.0217645429,1958708.27729818
962883.85030108,1958707.7222522593
962884.691519999,1958707.182252174
962885.5652475591,1958706.7067904302
962886.4998937488,1958706.3522684518
962887.4345399383,1958705.9977464746
962888.4048717674,1958705.7652135747
962889.3832308453,1958705.5601213132
962890.367481132,1958705.3939871993
962891.362736876,1958705.3006313476
962892.3581045736,1958705.2093481694
962893.3576255962,1958705.1949595779
962894.3571466204,1958705.1805709894
962895.3562231613,1958705.2125684754
962896.3552686884,1958705.2465808156
962897.354379133,1958705.277797972
962898.3536019232,1958705.3012240275
962899.3510941349,1958705.366481836
962900.3456971475,1958705.4617532874
962901.3373209417,1958705.5879734803
962902.3230121967,1958705.7496033567
962903.3016259181,1958705.953477035
962904.2763049896,1958706.172329514
962905.2287785019,1958706.475716219
962906.1812520189,1958706.7791029299
962907.098990296,1958707.1703182883
962908.0013231419,1958707.6004865489
962908.8877065072,1958708.057544577
962909.6978578697,1958708.6431247068
962910.5080092292,1958709.2287048346
962911.2182348311,1958709.9232518256
962911.8716224789,1958710.6797793666
962912.5107657359,1958711.4455422927
962912.9347874533,1958712.3507798
962913.3588091691,1958713.2560173091
962913.6946837064,1958714.1882588628
962913.8504777254,1958715.175668405
962914.0062717451,1958716.163077947
962914.104290883,1958717.152130059
962914.0048483353,1958718.1467961133
962913.9054057931,1958719.1414621677
962913.7625341048,1958720.1252938695
962913.3831185878,1958721.0501145176
962913.0037030717,1958721.9749351642
962912.4977789194,1958722.8246273387
962911.8673061732,1958723.6003550303
962911.2307839496,1958724.369744744
962910.4265459683,1958724.9634202237
962909.622307985,1958725.5570957048
962908.7580491921,1958726.0502341087
962907.8538622347,1958726.4764913542
962906.9414889095,1958726.8815255375
962905.9852671942,1958727.172883243
962905.0290454748,1958727.464240947
962904.0538759173,1958727.6789832714
962903.072076956,1958727.8669196586
962902.0851490806,1958728.0208481809
962901.0915927591,1958728.1308260094
962900.096358726,1958728.2202431397
962899.0981162986,1958728.2727916832
962898.099066874,1958728.3015691682
