X-axis,Y-axis
962895.0258923672,1958734.3373632433
962894.186044019,1958733.7952340234
962893.3461956141,1958733.253104887
962892.5063471572,1958732.7109758314
962891.666498646,1958732.1688468556
962890.8266500827,1958731.626717962
962889.9868014585,1958731.0845891556
962889.1469527822,1958730.5424604355
962888.3066633579,1958730.001068308
962887.4824477475,1958729.4357322413
962886.679078685,1958728.841221428
962885.9078376668,1958728.2052680738
962885.1940705242,1958727.506404508
962884.583951836,1958726.7205683896
962884.2821891506,1958725.7960416067
962884.7947073188,1958725.011654426
962885.7457800694,1958724.733524718
962886.7285443213,1958724.5922180323
962887.727988087,1958724.5732053497
962888.7274149607,1958724.5553830827
962889.7259171646,1958724.6027398747
962890.724419364,1958724.6500966668
962891.7229073314,1958724.697744761
962892.7212696482,1958724.7479642518
962893.7196319599,1958724.7981837466
962894.7179355235,1958724.8495403994
962895.7161578294,1958724.902469895
962896.7143801339,1958724.9553993873
962897.7124644954,1958725.0108686103
962898.7105472748,1958725.0663669324
962899.7085156005,1958725.1238791228
962900.7064598375,1958725.181815273
962901.7042739266,1958725.2419490523
962902.7020303272,1958725.303025367
962903.6996861263,1958725.3657288463
962904.6971987161,1958725.4306694595
962905.6952493594,1958725.4844389665
962906.6946730143,1958725.4994747862
962907.694029739,1958725.485607429
962908.6924270104,1958725.438756102
962909.6861260063,1958725.330075015
962910.6618552906,1958725.117271251
962911.4983576549,1958724.6299754505
962911.2723102533,1958723.7545316292
962910.5250583864,1958723.1088631805
962909.6894808667,1958722.5601742733
962908.8198721783,1958722.0680167244
962907.9439246824,1958721.5863889768
962907.0666452484,1958721.1071962668
962906.1885973632,1958720.629408431
962905.3097054454,1958720.1531785629
962904.4298934552,1958719.6786470346
962903.549453342,1958719.2052845245
962902.6681390863,1958718.7335489022
962901.786183639,1958718.2630151445
962900.9035750605,1958717.7937056387
962900.0201189738,1958717.3259946294
962899.1361551962,1958716.8592435652
962898.2514323146,1958716.393932114
962897.3658395153,1958715.9302786225
962896.4891396227,1958715.451483147
962895.6615372084,1958714.8909905476
962894.8550545636,1958714.3008298578
962894.060276901,1958713.6946199539
962893.3118902389,1958713.0319233704
962892.5862083555,1958712.3466563674
962891.9279655751,1958711.5943493673
962891.3873747793,1958710.7627576282
962891.0173440654,1958709.854727662
962891.1019506981,1958708.858689938
962891.8556291617,1958708.205556705
962892.7286886516,1958707.7726021935
962893.6954937974,1958707.5185606151
962894.665822041,1958707.2872814906
962895.6641892822,1958707.2371601039
962896.6625565223,1958707.1870387166
962897.6609237612,1958707.1369173313
962898.659561985,1958707.1006512225
962899.6591255389,1958707.1116964596
962900.6586890903,1958707.1227416957
962901.6582526392,1958707.1337869312
962902.6578161896,1958707.144832032
962903.6573805015,1958707.155808112
962904.656944811,1958707.1667841908
962905.656509118,1958707.1777602707
962906.6560741531,1958707.1886698618
962907.65563948,1958707.199552421
962908.6552051518,1958707.210403236
962909.654771918,1958707.221152593
962910.6543397069,1958707.2318060219
962911.6539097055,1958707.2422490949
