X-axis,Y-axis
962585.7681666873,1959219.8067620145
962586.7322718358,1959219.5426885674
962587.6963770175,1959219.2786152444
962588.6604822555,1959219.0145421396
962589.624587495,1959218.7504690373
962590.5886927336,1959218.4863959346
962591.5527979712,1959218.2223228316
962592.5169033611,1959217.9582502926
962593.481008766,1959217.69417781
962594.4451141701,1959217.4301053274
962595.4092195733,1959217.1660328463
962596.3733249756,1959216.9019603652
962597.3374303749,1959216.6378878849
962598.3015358532,1959216.3738156897
962599.2656414767,1959216.109744028
962600.2297470993,1959215.8456723676
962601.1938527189,1959215.5816007066
962602.1579583399,1959215.3175290439
962603.12206396,1959215.053457385
962604.086169577,1959214.7893857246
962605.0502751954,1959214.5253140677
962606.0143809088,1959214.2612427692
962606.9784867812,1959213.9971720441
962607.9425926505,1959213.7331013228
962608.9066985211,1959213.4690305998
962609.8708043887,1959213.204959877
962610.8349102576,1959212.9408891562
962611.7990161235,1959212.6768184362
962612.7631219885,1959212.4127477147
962613.7272278549,1959212.1486769954
962614.6913339099,1959211.8846069758
962615.6554400394,1959211.6205372321
962616.619546168,1959211.3564674887
962617.5836522959,1959211.0923977466
962618.5477584228,1959210.828328003
962619.5118645489,1959210.5642582623
962620.4759706764,1959210.3001885216
962621.4400767985,1959210.036118781
962622.4041829358,1959209.7720490876
962623.3682893141,1959209.5079802838
962624.3323956917,1959209.2439114798
962625.2965020683,1959208.9798426754
962626.2606084441,1959208.7157738714
962627.224714819,1959208.4517050704
962628.1888211932,1959208.1876362688
962629.1529275663,1959207.923567467
962630.117033957,1959207.659498736
962631.08114055,1959207.3954307514
962632.0452471444,1959207.131362769
962633.0093537379,1959206.867294785
962633.9734603283,1959206.6032268025
962634.9375669202,1959206.3391588216
962635.9016735089,1959206.075090842
962636.865780188,1959205.811023186
962637.8298869462,1959205.5469558253
962638.7939937013,1959205.2828884646
962639.7581004578,1959205.0188211065
962640.7222072203,1959204.7547537722
962641.6863140664,1959204.4906867533
962642.656911171,1959204.25444015
962643.6464455957,1959204.1172213154
962644.6431421869,1959204.040871448
962645.6422533506,1959204.0633355307
962646.6372255436,1959204.1360993031
962647.6239817835,1959204.2959289432
962648.590056,1959204.5385608978
962649.5360735351,1959204.8614915516
962650.4387913079,1959205.2783457744
962651.2987353092,1959205.7879825996
962652.1116009611,1959206.359227824
962652.8292310414,1959207.0551016957
962653.5468611222,1959207.7509755674
962654.090623874,1959208.587432815
962654.6208415887,1959209.4348421316
962655.1184970362,1959210.2978993698
962655.4488793241,1959211.2413403671
962655.7792616148,1959212.1847813644
962656.1096439034,1959213.1282223603
962656.3706849501,1959214.0926985128
962656.6201482916,1959215.060686845
962656.8696116325,1959216.0286751774
962657.1190749753,1959216.9966635073
962657.3685383198,1959217.9646518382
962657.6249691,1959218.9308072107
962657.8841410377,1959219.896241452
962658.143312975,1959220.861675691
962658.4024849164,1959221.8271099308
962658.6616568576,1959222.79254417
962658.9208287983,1959223.7579784084
962659.1800007412,1959224.7234126474
962659.4394794015,1959225.6887638352
962659.7028183871,1959226.6530697737
962659.9661573736,1959227.6173757103
962660.229496359,1959228.581681648
962660.4928353453,1959229.5459875844
962660.756174335,1959230.51029352
962661.0195133234,1959231.4745994553
962661.2828523151,1959232.4389053895
962661.5461913055,1959233.403211323
962661.809530297,1959234.367517258
962662.0743559692,1959235.3314152802
962662.340011119,1959236.2950857093
962662.6056662715,1959237.258756139
962662.8713214246,1959238.2224265665
962663.1369765782,1959239.1860969956
962663.4026317345,1959240.149767424
962663.6682868891,1959241.1134378514
962663.9339420465,1959242.077108279
962664.1995972042,1959243.0407787045
962664.4652523627,1959244.0044491307
962664.731113653,1959244.9680625622
962664.9982427869,1959245.9313254417
962665.2653719209,1959246.8945883226
962665.5325010574,1959247.8578512021
962665.7996301941,1959248.8211140803
962666.0667593331,1959249.7843769612
962666.3338884724,1959250.7476398358
962666.6010176119,1959251.710902713
962666.8681467515,1959252.6741655904
962667.1352758936,1959253.6374284658
962667.4024050381,1959254.6006913425
962667.6698248865,1959255.563873433
962667.937974095,1959256.5268528454
962668.2061233013,1959257.4898322572
962668.4742725098,1959258.4528116682
962668.7424217204,1959259.415791077
962669.0105709311,1959260.378770488
962669.2787201417,1959261.3417498977
962669.5468693546,1959262.3047293052
962669.8150185674,1959263.2677087146
962670.0831677802,1959264.230688122
962670.3513169951,1959265.1936675282
962670.6200601216,1959266.1564813075
962670.8889565906,1959267.119252323
962671.1578530594,1959268.0820233384
962671.4267495301,1959269.0447943516
962671.6956460007,1959270.0075653663
962671.9645424711,1959270.970336379
962672.2334389457,1959271.9331073917
962672.502335418,1959272.8958784041
962672.7712318945,1959273.858649414
962673.0403487441,1959274.8213588044
962673.309815029,1959275.7839704903
962673.5792813136,1959276.7465821754
962673.8487476,1959277.7091938579
962674.1182138862,1959278.6718055403
962674.3876801742,1959279.6344172233
962674.6571464641,1959280.5970289044
962674.9266127538,1959281.5596405866
962675.1964257509,1959282.5221551263
962675.4663374645,1959283.4846420055
962675.7362491776,1959284.4471288854
962676.0061608927,1959285.409615766
962676.2760726071,1959286.372102645
962676.5462123977,1959287.3345255232
962676.8164560103,1959288.2969192662
962677.0823271048,1959289.2604023386
962677.320721469,1959290.2309947016
962677.5228508982,1959291.2099620234
962677.6987035217,1959292.1935272075
962677.8410013467,1959293.1829637387
962677.9610953808,1959294.1746829238
962678.023083542,1959295.1723756585
962678.0850717016,1959296.1700683911
962678.0501896213,1959297.1684192503
962678.0017629914,1959298.1668621306
962677.8939744341,1959299.1577792002
962677.6917116416,1959300.1367189763
962677.4894488517,1959301.1156587538
962677.0968508845,1959302.0328492108
962676.6858954524,1959302.9440840643
962676.1500392099,1959303.7748625826
962675.4902721914,1959304.5258225081
962674.810875457,1959305.25232538
962673.9349370465,1959305.7339530687
962673.0589986334,1959306.2155807577
962672.1502855379,1959306.6227802297
962671.2036008979,1959306.9437498953
962670.2569162556,1959307.2647195614
962669.310231611,1959307.585689227
962668.3617295072,1959307.9012254858
962667.4124538114,1959308.2144490425
962666.4631781116,1959308.5276725956
962665.5139024125,1959308.840896153
962664.5646267118,1959309.1541197102
962663.6148464682,1959309.4658042807
962662.6643799355,1959309.7753955065
962661.7139134028,1959310.0849867333
962660.7634468698,1959310.394577962
962659.8129803367,1959310.704169191
962658.8625138013,1959311.0137604212
962657.9119924094,1959311.3231826038
962656.9608419933,1959311.6306663456
962656.0096915745,1959311.9381500855
962655.0585411551,1959312.2456338275
962654.1073907329,1959312.5531175702
962653.1562403121,1959312.8606013122
962652.205089891,1959313.1680850564
962651.253885644,1959313.475401894
962650.3022915451,1959313.7815098031
962649.3506974431,1959314.0876177135
962648.3991033424,1959314.3937256234
962647.4475092409,1959314.6998335365
962646.4959151386,1959315.005941447
962645.5443210354,1959315.3120493589
962644.5927269312,1959315.6181572736
962643.6408226769,1959315.923299348
962642.6889175972,1959316.2284388589
962641.7370125187,1959316.5335783705
962640.7851074392,1959316.8387178828
962639.8332023585,1959317.143857395
962638.8812972767,1959317.448996908
962637.9293557128,1959317.7540224697
962636.97722076,1959318.0584439558
962636.0250858059,1959318.3628654433
962635.0729508506,1959318.667286933
962634.1208158941,1959318.9717084225
962633.1686809385,1959319.2761299121
962632.2165361439,1959319.5805206022
962631.264224707,1959319.884389579
962630.3119132733,1959320.1882585553
962629.3596018361,1959320.4921275335
962628.4072903997,1959320.7959965118
962627.4549597023,1959321.099805087
962626.5025095744,1959321.403239082
962625.5500594474,1959321.7066730785
962624.5976093189,1959322.0101070763
962623.6450701016,1959322.3132612729
962622.686149536,1959322.5947236782
962621.7168769564,1959322.8391497594
962620.7360962877,1959323.0321109276
962619.7534620011,1959323.2139488528
962618.761393608,1959323.33656105
962617.7693252107,1959323.4591732465
962616.7709885142,1959323.5004415587
962615.7718473665,1959323.5312705215
962614.7741149402,1959323.516739522
962613.7788123225,1959323.4239701116
962612.7835097053,1959323.3312007037
962611.8095502625,1959323.1192217842
962610.843887733,1959322.8609015471
962609.8813066612,1959322.5947399244
962608.998131229,1959322.1265149484
962608.1149557967,1959321.6582899732
962607.2876250157,1959321.1133267768
962606.5704807636,1959320.416952167
962605.853336512,1959319.7205775543
962605.2636534661,1959318.928070248
962604.7911883701,1959318.0471558257
962604.3187232757,1959317.1662414053
962603.9021729446,1959316.2611219191
962603.5831935373,1959315.3137647416
962603.2642141305,1959314.3664075644
962602.9452347241,1959313.4190503848
962602.6262553182,1959312.4716932059
962602.3145420131,1959311.52196495
962602.0133440859,1959310.5688053102
962601.7121461628,1959309.615645671
962601.4109482394,1959308.6624860314
962601.1097503179,1959307.7093263902
962600.8085523959,1959306.7561667475
962600.5073544737,1959305.8030071051
962600.2061565556,1959304.8498474618
962599.9117396171,1959303.89457444
962599.6180768134,1959302.9390663814
962599.3244140086,1959301.983558322
962599.030751205,1959301.028050262
962598.7370884028,1959300.072542202
962598.4434256018,1959299.1170341398
962598.1497627997,1959298.1615260784
962597.8561000011,1959297.206018017
962597.5624372016,1959296.250509954
962597.2711303652,1959295.2942834904
962596.9816780216,1959294.337491539
962596.6922256756,1959293.380699588
962596.402773334,1959292.4239076339
962596.11332099,1959291.4671156819
962595.8238686505,1959290.5103237263
962595.5344163085,1959289.5535317722
962595.2449639686,1959288.5967398167
962594.955511631,1959287.6399478612
962594.6660592932,1959286.683155905
962594.3769082701,1959285.7262732647
962594.0901981163,1959284.7686560154
962593.8034879653,1959283.8110387684
962593.5167778124,1959282.8534215186
962593.2300676623,1959281.8958042692
962592.9433575126,1959280.9381870194
962592.6566473657,1959279.9805697696
962592.369937217,1959279.0229525175
962592.083227071,1959278.0653352647
962591.7965169254,1959277.1077180135
962591.5098067804,1959276.15010076
962591.2236435974,1959275.1923203687
962590.9389332165,1959274.2341066604
962590.6542228365,1959273.2758929515
962590.3695124574,1959272.317679241
962590.0848020792,1959271.3594655313
962589.8000917042,1959270.4012518201
962589.5153813278,1959269.443038109
962589.2306709524,1959268.4848243971
962588.94596058,1959267.5266106832
962588.6612502063,1959266.56839697
962588.3765398335,1959265.6101832574
962588.0930943968,1959264.6515948733
962587.8100201121,1959263.6928965533
962587.5269458264,1959262.7341982329
962587.2438715419,1959261.7754999122
962586.9607972587,1959260.8168015908
962586.6777229767,1959259.858103271
962586.394648696,1959258.8994049483
962586.1115744165,1959257.940706625
962585.828500136,1959256.982008303
962585.5459510175,1959256.0231553845
962585.2644607602,1959255.0639907713
962584.9829705043,1959254.1048261547
962584.7014802501,1959253.1456615387
962584.4199899953,1959252.1864969213
962584.138499742,1959251.227332303
962583.8570094903,1959250.268167685
962583.5755192379,1959249.309003066
962583.2954684644,1959248.3494177433
962583.0161220467,1959247.389626564
962582.7367756289,1959246.4298353833
962582.457429213,1959245.470044204
962582.178082797,1959244.5102530234
962581.9025010278,1959243.549381641
962581.6304550198,1959242.5874957317
962581.3954206315,1959241.616429783
962581.194888508,1959240.6371354444
962581.0074431101,1959239.6553845794
962580.8399316353,1959238.669903257
962580.6771892746,1959237.6837259794
962580.55609169,1959236.691471522
962580.4349941076,1959235.6992170622
962580.3346232504,1959234.7051062023
962580.27746406,1959233.7071250584
962580.2203048712,1959232.7091439154
962580.1874449202,1959231.710866213
962580.2202310517,1959230.711787334
962580.2530171842,1959229.7127084555
962580.3041598628,1959228.7154409718
962580.4672793698,1959227.7292231645
962580.6303988749,1959226.7430053572
962580.8138007555,1959225.7622483892
962581.1678968733,1959224.8274492265
962581.5219929918,1959223.8926500652
962581.9474239469,1959222.9979109115
962582.5613188802,1959222.2090087994
962583.1752138141,1959221.420106689
962583.9514310367,1959220.8203575402
962584.8243750928,1959220.3333234522
962585.6973191473,1959219.846289367
