X-axis,Y-axis
962660.6763266427,1959229.3671615357
962661.0812204434,1959230.2799469382
962661.3502109197,1959231.2426917045
962661.4598854579,1959232.2361564985
962661.4197341216,1959233.2305234633
962661.2629098024,1959234.212154137
962660.9219745516,1959235.1518330784
962660.4553221364,1959236.0260906524
962659.8813686486,1959236.8445103213
962659.2117214095,1959237.5765622188
962658.4562323202,1959238.2311381118
962657.69571504,1959238.8785439965
962656.8229230285,1959239.365850337
962655.9501310153,1959239.853156678
962655.0773390005,1959240.3404630236
962654.1445505243,1959240.6965501003
962653.2050153472,1959241.0378813567
962652.2654801697,1959241.3792126167
962651.3259449918,1959241.7205438758
962650.3680269523,1959242.0055689276
962649.4080804337,1959242.2843808134
962648.4481339153,1959242.5631927014
962647.4881873969,1959242.842004591
962646.5277727295,1959243.1191980932
962645.5672231101,1959243.3959250704
962644.6066734882,1959243.6726520464
962643.6458822455,1959243.948536328
962642.6846360827,1959244.2228340034
962641.7233899214,1959244.4971316801
962640.7616955615,1959244.7698497844
962639.7996361327,1959245.0412812922
962638.8372618576,1959245.3115891959
962637.87424087,1959245.5795891737
962636.9105111216,1959245.8450207561
962635.9458431733,1959246.1070180116
962634.9794312193,1959246.3624972757
962634.0855370512,1959246.7751558726
962633.3865130645,1959247.4858266925
962632.8448101333,1959248.3233708788
962632.4695766337,1959249.2484732019
962632.2424271133,1959250.219659283
962632.1243185094,1959251.2090800204
962632.0859332373,1959252.2079593872
962632.1753986799,1959253.2026703674
962632.2787673231,1959254.1969280546
962632.4993643401,1959255.1716791394
962632.723536397,1959256.1458353428
962632.9811016783,1959257.1113431288
962633.257982306,1959258.0718484842
962633.5352127778,1959259.0322525636
962633.814261756,1959259.9921302036
962634.0933107387,1959260.9520078467
962634.3741652475,1959261.9113585087
962634.6552584065,1959262.870639517
962634.9379243124,1959263.8294579536
962635.2209475875,1959264.7881712792
962635.5057441075,1959265.7463592864
962635.7912302956,1959266.7043416945
962636.0778441402,1959267.6619876889
962636.3660557355,1959268.6191540747
962636.6559743357,1959269.5758045537
962636.8961402554,1959270.544512339
962637.2176537713,1959271.4889623697
962637.6883320522,1959272.3676206667
962638.3078428659,1959273.146372423
962639.0674537325,1959273.7865302435
962639.9373036508,1959274.266438495
962640.8814746373,1959274.5947288442
962641.8753823119,1959274.6983318299
962642.8698437302,1959274.712182224
962643.8642328744,1959274.6100860408
962644.8510849124,1959274.4582832612
962645.8310415305,1959274.2610057439
962646.8099588726,1959274.05877179
962647.7866207532,1959273.8457812674
962648.7632826306,1959273.6327907445
962649.7373963081,1959273.408438255
962650.7114744895,1959273.183927502
962651.6842730332,1959272.9539773618
962652.6562801268,1959272.720663007
962653.6277900798,1959272.4853096737
962654.5981042086,1959272.2450517567
962655.5682815237,1959272.0042480847
962656.5371883814,1959271.7583764228
962657.5059620833,1959271.5119852524
962658.4736826562,1959271.2614852379
962659.4409761888,1959271.0093490058
962660.4075894151,1959270.7546116852
962661.3732525597,1959270.4962966344
962662.3428934176,1959270.2574384063
962663.3334738868,1959270.1321931605
962664.3315094287,1959270.1085233907
962665.3269976034,1959270.1992793756
962666.2953125236,1959270.4422225796
962667.2231357294,1959270.7997344164
962668.1150368259,1959271.2511164916
962668.8820973402,1959271.8915867666
962669.5997238132,1959272.5795795221
962670.1966697768,1959273.3813830253
962670.7373981834,1959274.2164438604
962671.1526913899,1959275.125709988
962671.5679845986,1959276.0349761148
