X-axis,Y-axis
962823.7524686246,1959338.8219343668
962822.9948698725,1959339.0540095011
962822.2372711643,1959339.2860847006
962821.4796724956,1959339.5181599625
962820.7220738686,1959339.750235288
962819.9644752833,1959339.9823106772
962819.2068767397,1959340.2143861314
962818.4492782379,1959340.4464616468
962817.6916797777,1959340.6785372242
962816.9340813592,1959340.9106128677
962816.1764829825,1959341.142688572
962815.4188846475,1959341.3747643414
962814.6612863564,1959341.606840176
962813.9036881048,1959341.8389160724
962813.1460898949,1959342.0709920323
962812.3884917268,1959342.3030680546
962811.6308936004,1959342.5351441412
962810.8732955157,1959342.7672202925
962810.1156974726,1959342.9992965031
962809.3580994713,1959343.2313727767
962808.6005015116,1959343.4634491191
962807.8429035938,1959343.695525523
962807.0853057175,1959343.9276019877
962806.3277078831,1959344.1596785171
962805.5701100903,1959344.3917551108
962804.8125123415,1959344.6238317676
962804.0549146322,1959344.8559084893
962803.2973169646,1959345.0879852716
962802.5397193386,1959345.3200621195
962801.7821217545,1959345.552139029
962801.024524212,1959345.7842160016
962800.2669267135,1959346.016293042
962799.5093292544,1959346.2483701422
962798.751731837,1959346.4804473037
962797.9941344614,1959346.7125245305
962797.2365371275,1959346.9446018217
962796.478939833,1959347.1766791744
962795.7213425847,1959347.4087565911
962794.963745376,1959347.6408340735
962794.2061482088,1959347.8729116167
962793.4485510834,1959348.1049892232
962792.6909539999,1959348.337066896
962791.9333569579,1959348.5691446296
962791.1757599576,1959348.8012224287
962790.4181629992,1959349.03330029
962789.6605660846,1959349.2653782128
962788.9029692095,1959349.4974561993
962788.1453723761,1959349.7295342505
962787.3877755845,1959349.9616123652
962786.6301788345,1959350.1936905435
962785.8725821263,1959350.4257687852
962785.1149854597,1959350.6578470883
962784.3573888348,1959350.889925457
962783.5997922517,1959351.1220038885
962782.8421957126,1959351.3540823834
962782.084599213,1959351.5861609422
962781.3270027527,1959351.8182395645
962780.5694063364,1959352.0503182488
962779.8118099641,1959352.2823969973
962779.0542136313,1959352.5144758073
962778.2966173402,1959352.7465546834
962777.5390210907,1959352.9786336224
962776.781424883,1959353.210712625
962776.0238287171,1959353.4427916901
962775.2662325928,1959353.6748708175
962774.5086365102,1959353.90695001
962773.7510404694,1959354.139029264
962772.9934444724,1959354.3711085832
962772.235848515,1959354.6031879648
962771.4782525992,1959354.8352674108
962770.7206567252,1959355.0673469212
962769.963060893,1959355.2994264911
962769.2054651023,1959355.5315061277
962768.4478693535,1959355.7635858266
962767.6902736464,1959355.9956655905
962766.9326779809,1959356.2277454147
962766.1750823593,1959356.4598253046
962765.4174867751,1959356.6919052568
962764.6598912348,1959356.9239852743
962763.9022957362,1959357.1560653527
962763.1447002816,1959357.3881454947
962762.3871048663,1959357.6202257005
962761.6295094929,1959357.8523059716
962760.8719141611,1959358.084386305
962760.1143188712,1959358.3164666998
962759.3567236228,1959358.5485471596
962758.5991284162,1959358.780627682
962757.8415332512,1959359.0127082681
962757.0839381303,1959359.244788918
962756.3263430488,1959359.4768696309
962755.568748009,1959359.7089504087
962754.8111530109,1959359.9410312483
962754.0535580546,1959360.173112153
962753.29596314,1959360.4051931193
962752.538368267,1959360.637274148
962751.7807734358,1959360.8693552425
962751.0231786463,1959361.1014363987
962750.2655839009,1959361.3335176199
962749.5079891925,1959361.5655989035
962748.7503945281,1959361.7976802501
962747.9927999055,1959362.029761661
962747.2352053268,1959362.2618431337
962746.4776107875,1959362.4939246709
962745.72001629,1959362.7260062709
962744.9624218342,1959362.9580879367
962744.2048274201,1959363.1901696636
962743.4472330477,1959363.422251455
962742.6896387171,1959363.6543333079
962741.9320444281,1959363.886415226
962741.1744501808,1959364.1184972054
962740.4168559775,1959364.3505792497
962739.6592618137,1959364.5826613575
962738.9016676917,1959364.8147435288
962738.1440736089,1959365.0468257642
962737.3864795725,1959365.2789080604
962736.6288855756,1959365.5109904225
962735.8712916203,1959365.743072846
962735.1136977067,1959365.975155335
962734.3561038348,1959366.2072378867
962733.5985100047,1959366.4393205014
962732.8409162163,1959366.6714031778
962732.0940210171,1959366.934776853
962731.3682069335,1959367.2516418707
962730.6627586074,1959367.6112744391
962729.9790472018,1959368.0103792946
962729.3196646178,1959368.448193193
962728.6870721384,1959368.9235716802
962728.0842128248,1959369.4358348355
962727.515020847,1959369.9849469939
962726.9817213245,1959370.5686833507
962726.4888485587,1959371.1866411928
962726.0384057909,1959371.8358911441
962725.6331265083,1959372.5140041085
962725.2750594056,1959373.2179712767
962724.9653760869,1959373.9443355675
962724.7042387371,1959374.6893879783
